Number_of_casualties,minute,Age_band_of_driver,Number_of_vehicles_involved,Light_conditions,Day_of_week,Types_of_Junction,session,hour,Lanes_or_Medians,Accident_severity
2.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,17.0,3.2,2.0
2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,17.0,4.0,2.0
2.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,17.0,6.0,1.0
2.0,6.0,0.0,2.0,0.0,3.0,7.0,2.0,1.0,6.0,2.0
2.0,6.0,0.0,2.0,0.0,3.0,7.0,2.0,1.0,6.0,2.0
1.0,15.0,1.0,1.0,3.0,0.0,7.0,5.0,14.0,2.8,2.0
1.0,30.0,0.0,1.0,3.0,6.0,0.0,1.0,17.0,4.0,2.0
1.0,20.0,0.0,2.0,3.0,0.0,7.0,1.0,17.0,6.0,2.0
1.0,20.0,0.0,2.0,3.0,0.0,7.0,1.0,17.0,6.0,2.0
1.0,20.0,0.0,2.0,3.0,0.0,7.0,1.0,17.0,4.0,1.0
1.0,40.0,0.0,2.0,3.0,2.0,1.0,5.0,14.0,6.0,1.0
1.0,40.0,1.0,2.0,3.0,2.0,1.0,5.0,14.0,4.0,1.0
2.0,45.0,0.0,2.0,3.0,4.0,1.0,1.0,17.0,0.0,2.0
2.0,45.0,1.0,2.0,3.0,4.0,1.0,1.0,17.0,6.0,2.0
2.0,45.0,1.0,2.0,3.0,4.0,1.0,1.0,17.0,4.0,1.0
3.0,45.0,0.0,2.0,0.0,1.0,7.0,4.0,22.0,1.0,1.0
3.0,45.0,0.0,2.0,0.0,1.0,7.0,4.0,22.0,4.0,2.0
3.0,45.0,0.0,2.0,0.0,1.0,7.0,4.0,22.0,6.0,1.0
3.0,45.0,0.0,2.0,0.0,1.0,7.0,4.0,22.0,6.0,2.0
1.0,20.0,0.0,2.0,3.0,5.0,7.0,0.0,8.0,1.0,1.0
1.0,20.0,3.0,2.0,3.0,5.0,7.0,0.0,8.0,1.0,2.0
1.0,10.0,0.0,1.0,3.0,4.0,0.0,5.0,15.0,4.0,1.0
1.0,11.0,0.0,2.0,3.0,4.0,7.0,3.0,12.0,6.0,1.0
1.0,11.0,1.0,2.0,3.0,4.0,7.0,3.0,12.0,4.0,1.0
3.0,36.0,0.0,2.0,3.0,6.0,0.0,1.0,18.0,6.0,2.0
3.0,36.0,0.0,2.0,3.0,6.0,0.0,1.0,18.0,6.0,2.0
3.0,36.0,0.0,2.0,3.0,6.0,0.0,1.0,18.0,0.0,2.0
1.0,35.0,0.0,1.0,3.0,0.0,1.0,5.0,14.0,4.0,2.0
1.0,25.0,2.0,2.0,3.0,5.0,1.0,3.0,12.0,6.0,2.0
1.0,25.0,0.0,2.0,3.0,5.0,1.0,3.0,12.0,6.0,2.0
1.0,30.0,0.0,1.0,3.0,1.0,0.0,5.0,15.0,3.0,2.0
1.0,10.0,0.0,1.0,3.0,4.0,1.0,1.0,18.0,4.0,2.0
1.0,25.0,0.0,2.0,3.0,4.0,1.0,5.0,15.0,4.0,2.0
1.0,25.0,1.0,2.0,3.0,4.0,1.0,5.0,15.0,6.0,2.0
1.0,57.0,2.0,2.0,3.0,2.0,2.0,5.0,13.0,4.0,2.0
1.0,57.0,0.0,2.0,3.0,2.0,2.0,5.0,13.0,4.0,2.0
2.0,30.0,0.0,2.0,0.0,0.0,0.0,1.0,20.0,0.0,2.0
2.0,30.0,2.0,2.0,0.0,0.0,0.0,1.0,20.0,4.0,2.0
2.0,30.0,2.0,2.0,0.0,0.0,0.0,1.0,20.0,6.0,2.0
1.0,30.0,2.0,2.0,3.0,3.0,1.0,5.0,16.0,6.0,2.0
1.0,30.0,1.0,2.0,3.0,3.0,1.0,5.0,16.0,6.0,2.0
